LAST SEEN   TYPE      REASON                    OBJECT                           MESSAGE
2m48s       Normal    Pulled                    pod/nginx-ha-7d744949b7-phd9s    Successfully pulled image "nginx:latest" in 1.821s (15.691s including waiting). Image size: 63120520 bytes.
2m48s       Normal    Created                   pod/nginx-ha-7d744949b7-phd9s    Created container: nginx
2m48s       Normal    Started                   pod/nginx-ha-7d744949b7-phd9s    Started container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-qmnrz    Successfully assigned default/nginx-ha-7d744949b7-qmnrz to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-qmnrz    Pulling image "nginx:latest"
3m2s        Normal    Pulled                    pod/nginx-ha-7d744949b7-qmnrz    Successfully pulled image "nginx:latest" in 2.147s (2.147s including waiting). Image size: 63120520 bytes.
3m2s        Normal    Created                   pod/nginx-ha-7d744949b7-qmnrz    Created container: nginx
3m1s        Normal    Started                   pod/nginx-ha-7d744949b7-qmnrz    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-rrj2q    Successfully assigned default/nginx-ha-7d744949b7-rrj2q to prod-ha-worker2
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-rrj2q    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-rrj2q    Successfully pulled image "nginx:latest" in 1.53s (8.821s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-rrj2q    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-rrj2q    Started container nginx
3m5s        Normal    Scheduled                 pod/nginx-ha-7d744949b7-rtgdf    Successfully assigned default/nginx-ha-7d744949b7-rtgdf to prod-ha-worker2
3m4s        Normal    Pulling                   pod/nginx-ha-7d744949b7-rtgdf    Pulling image "nginx:latest"
2m46s       Normal    Pulled                    pod/nginx-ha-7d744949b7-rtgdf    Successfully pulled image "nginx:latest" in 1.774s (17.427s including waiting). Image size: 63120520 bytes.
2m46s       Normal    Created                   pod/nginx-ha-7d744949b7-rtgdf    Created container: nginx
2m46s       Normal    Started                   pod/nginx-ha-7d744949b7-rtgdf    Started container nginx
51m         Normal    Scheduled                 pod/nginx-ha-7d744949b7-sd597    Successfully assigned default/nginx-ha-7d744949b7-sd597 to prod-ha-worker
51m         Normal    Pulling                   pod/nginx-ha-7d744949b7-sd597    Pulling image "nginx:latest"
51m         Normal    Pulled                    pod/nginx-ha-7d744949b7-sd597    Successfully pulled image "nginx:latest" in 1.505s (2.956s including waiting). Image size: 63120520 bytes.
51m         Normal    Created                   pod/nginx-ha-7d744949b7-sd597    Created container: nginx
51m         Normal    Started                   pod/nginx-ha-7d744949b7-sd597    Started container nginx
8m10s       Warning   NodeNotReady              pod/nginx-ha-7d744949b7-sd597    Node is not ready
